State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,GUNTUR,Banana,2003-04,Whole Year,5681,Hectare,42238,Tonnes,7.434958634
Andhra Pradesh,KADAPA,Banana,2001-02,Whole Year,4074,Hectare,132748,Tonnes,32.58419244
Andhra Pradesh,KADAPA,Banana,2002-03,Whole Year,4574,Hectare,299574,Tonnes,65.49497158
Andhra Pradesh,KADAPA,Banana,2003-04,Whole Year,3771,Hectare,158827,Tonnes,42.11800583
Andhra Pradesh,KARIMNAGAR,Banana,2001-02,Whole Year,1,Hectare,,Tonnes,0
Andhra Pradesh,KARIMNAGAR,Banana,2002-03,Whole Year,9,Hectare,220,Tonnes,24.44444444
Andhra Pradesh,KHAMMAM,Banana,2001-02,Whole Year,673,Hectare,13682,Tonnes,20.32986627
Andhra Pradesh,KHAMMAM,Banana,2002-03,Whole Year,735,Hectare,17937,Tonnes,24.40408163
Andhra Pradesh,KHAMMAM,Banana,2003-04,Whole Year,859,Hectare,12028,Tonnes,14.00232829
Andhra Pradesh,KRISHNA,Banana,2001-02,Whole Year,1556,Hectare,3946,Tonnes,2.535989717
Andhra Pradesh,KRISHNA,Banana,2002-03,Whole Year,1346,Hectare,20586,Tonnes,15.29420505
Andhra Pradesh,KRISHNA,Banana,2003-04,Whole Year,1249,Hectare,15574,Tonnes,12.46917534
Andhra Pradesh,KURNOOL,Banana,2001-02,Whole Year,2704,Hectare,29845,Tonnes,11.03735207
Andhra Pradesh,KURNOOL,Banana,2002-03,Whole Year,1862,Hectare,49164,Tonnes,26.40386681
Andhra Pradesh,KURNOOL,Banana,2003-04,Whole Year,2960,Hectare,23820,Tonnes,8.047297297
Andhra Pradesh,MAHBUBNAGAR,Banana,2001-02,Whole Year,12,Hectare,,Tonnes,0
Andhra Pradesh,MEDAK,Banana,2001-02,Whole Year,527,Hectare,2160,Tonnes,4.098671727
Andhra Pradesh,MEDAK,Banana,2002-03,Whole Year,297,Hectare,7248,Tonnes,24.4040404
Andhra Pradesh,MEDAK,Banana,2003-04,Whole Year,121,Hectare,1694,Tonnes,14
Andhra Pradesh,NALGONDA,Banana,2001-02,Whole Year,9,Hectare,,Tonnes,0
Andhra Pradesh,NALGONDA,Banana,2002-03,Whole Year,3,Hectare,73,Tonnes,24.33333333
Andhra Pradesh,NIZAMABAD,Banana,2001-02,Whole Year,398,Hectare,2070,Tonnes,5.201005025
